"parameter","species","mean","lower","upper","prob_pos","prob_neg"
"jday","RECR",-0.159146703667454,-0.598974967303554,0.253111620317245,0.279,0.721
"jday","ROWR",-0.160865625784873,-0.491915055668824,0.19790179388641,0.225,0.775
"jday","SOGR",-0.106570058328872,-0.571394134128739,0.371688767777647,0.3555,0.6445
"jday","SOSP",-0.0546738843366945,-0.431227590950539,0.299727562151713,0.409,0.591
"jday","SPTO",-0.137529308454557,-0.31695080598064,0.0438812463353891,0.1175,0.8825
"jday","STJA",0.0492919176873325,-0.104292088583637,0.219306628543243,0.704,0.296
"jday","TOSO",0.139157886839792,-0.0860511639168459,0.365990127308102,0.8345,0.1655
"jday","VASW",-0.0915124711334499,-0.61616410901583,0.436919882920383,0.3805,0.6195
"jday","WAVI",0.112044078235801,-0.149617414096437,0.387701081600172,0.7625,0.2375
"jday","WBNU",0.41702252742337,0.0961265480662514,0.678171476285039,0.991,0.00900000000000001
"jday","WEBL",-0.0942989898203112,-0.322063976650674,0.117793339535615,0.2335,0.7665
"jday","WESJ",-0.150102383888964,-0.591463650631528,0.279733861379802,0.295,0.705
"jday","WETA",0.134519911540259,-0.019034674592079,0.279192685369042,0.932,0.0679999999999999
"jday","WEWP",0.0911912192980345,-0.0739761321138605,0.241008299165527,0.8315,0.1685
"jday","WHWO",0.150502362249276,-0.0448168554179924,0.339282926386047,0.898,0.102
"jday","WIWA",-0.147233375976324,-0.460118982617365,0.136968728732276,0.213,0.787
"jday","WREN",-0.0915630646977443,-0.407781940959623,0.246860582114257,0.3275,0.6725
"jday","YEWA",-0.134063669661068,-0.399708459287734,0.113120436358163,0.1865,0.8135
"jday","YRWA",-0.640972290899242,-1.05603838895251,-0.208829109581465,0.0035,0.9965
"jday","CALT",-0.20700688356393,-0.67047189660572,0.314891122744762,0.2365,0.7635
"jday","CLNU",-0.115706376978909,-0.630733351826899,0.335786753609621,0.3455,0.6545
"jday","RWBL",-0.599121670493467,-1.13097931556803,-0.0928958633388006,0.031,0.969
"jday","WISA",-0.0857663913689772,-0.552311093209152,0.365488111933562,0.3835,0.6165
"jday","BESP",-0.120590756309716,-0.648532922999562,0.373340748453581,0.344,0.656
"jday","AMGO",-0.0813312044137511,-0.574349144147939,0.494817500841258,0.391,0.609
"jday","OATI",-0.117553113753141,-0.597818498323328,0.35774288480637,0.344,0.656
"jday","VESP",-0.0575914107096439,-0.532206947128653,0.440051749133279,0.428,0.572
"jday","YBCH",-0.120765824712037,-0.608687101918959,0.398137682421804,0.341,0.659
"jday","MWCS",-0.00876963717262158,-0.474984155830443,0.526210138495259,0.4825,0.5175
"jday2","ACWO",-0.00991098846084531,-0.110859547550933,0.102406200495175,0.4515,0.5485
"jday2","AMRO",0.055960065513731,-0.0343205063245385,0.150962768833511,0.8405,0.1595
"jday2","ANHU",-0.0532451054578203,-0.170778942063108,0.0517888921630622,0.2445,0.7555
"jday2","ATFL",-0.0046504909053484,-0.12711739019382,0.11314756562824,0.4715,0.5285
"jday2","BBWO",-0.0684469759351671,-0.187617724480099,0.0498789638700021,0.185,0.815
"jday2","BCSP",-0.00548701907205758,-0.128318718065054,0.113655160505125,0.477,0.523
"jday2","BEWR",0.0048545000319359,-0.120115553638068,0.100312593465198,0.532,0.468
"jday2","BGGN",-0.00473249642561407,-0.128358013877914,0.103272363299071,0.4795,0.5205
"jday2","BHCO",0.00460366226984456,-0.121513692247148,0.105232980188748,0.526,0.474
"jday2","BHGR",-0.0193239850791463,-0.106788700427838,0.0713358419404804,0.3775,0.6225
"jday2","BRBL",-0.00629688156814067,-0.123850142870734,0.104334675816938,0.4725,0.5275
"jday2","BRCR",-0.0373321680576297,-0.138427108053051,0.0507494700622673,0.289,0.711
"jday2","BRSP",0.00610068109386941,-0.107958399796912,0.125232959812565,0.525,0.475
"jday2","BTPI",-0.0206841989715715,-0.145284299589201,0.0892994594150854,0.402,0.598
"jday2","BTYW",0.00258849544604418,-0.120616441064158,0.112588079854335,0.514,0.486
"jday2","BUOR",0.00150270817179382,-0.119247836634424,0.108344174550111,0.5125,0.4875
"jday2","BUSH",0.00936390026966148,-0.108374229118899,0.114056792084754,0.543,0.457
"jday2","CAFI",0.000368730976146066,-0.0996672214962677,0.101646820309496,0.5055,0.4945
"jday2","CAHU",0.00596342500433946,-0.105709810637853,0.120263032725741,0.5355,0.4645
"jday2","CANW",-0.0163103349312633,-0.138710422458675,0.0930991783336713,0.428,0.572
"jday2","CAQU",0.0424027885515206,-0.0827631021735063,0.163169293508658,0.7105,0.2895
"jday2","CAVI",0.00813088244575686,-0.0921384565034065,0.103596961958395,0.562,0.438
"jday2","CBCH",-0.0077615692497779,-0.136379557798952,0.107044905282164,0.4725,0.5275
"jday2","CHSP",0.0506283073693989,-0.0404243100470361,0.151281841746973,0.809,0.191
"jday2","DEJU",0.0117681694594137,-0.0631517425229635,0.0901120456432841,0.603,0.397
"jday2","DOWO",-0.00641081707108508,-0.137070794637076,0.103086617534723,0.4605,0.5395
"jday2","DUFL",-0.0511379673149859,-0.148170746609411,0.0354368920933512,0.1865,0.8135
